,Suhu(sensor),pH(sensor)
0,29.2,8.1
1,24.5,8.0
2,25.8,7.8
3,24.8,7.8
4,25.7,7.9
5,25.0,7.5
6,24.8,7.7
7,26.3,7.7
8,26.5,7.8
9,26.0,7.8
10,29.2,7.9
11,29.5,8.0
12,30.2,8.0
13,26.7,8.0
14,27.2,7.9
15,29.7,8.0
16,26.0,8.1
17,28.0,8.1
18,31.0,9.0
19,30.0,8.5
20,30.5,8.8
21,30.5,9.0
22,29.0,8.5
23,30.0,8.4
24,29.5,8.2
25,29.5,9.1
26,20.0,8.1
27,20.2,8.0
28,19.8,7.9
29,26.6,6.9
30,27.0,7.7
31,26.6,7.4
32,26.8,7.0
33,17.5,8.1
34,16.3,8.1
35,16.7,8.0
36,17.3,8.1
37,17.0,8.1
38,17.0,8.0
39,17.2,7.7
40,21.0,7.8
41,24.4,7.5
42,18.7,7.7
43,23.0,7.4
44,23.0,7.4
45,22.0,7.5
46,23.0,7.4
47,23.0,7.5
48,26.9,7.9
49,26.9,7.9
50,27.0,8.2
51,27.0,8.2
52,27.0,7.7
53,22.1,7.8
54,22.1,7.8
55,24.4,8.3
56,24.5,8.3
57,24.4,8.3
58,22.4,7.7
59,23.8,7.6
60,22.5,8.2
61,22.5,8.5
62,22.7,8.5
63,17.0,8.0
64,24.5,8.1
65,24.9,8.1
66,24.5,8.1
67,22.3,8.1
68,23.8,8.2
69,24.7,7.9
70,24.9,8.0
71,24.7,7.7
72,24.4,8.0
73,24.1,7.9
74,24.0,7.8
75,23.9,7.8
76,24.0,7.8
77,24.4,7.8
78,23.4,7.9
79,24.5,8.1
80,24.1,8.1
81,23.4,7.9
82,23.8,7.9
83,23.9,7.9
84,23.9,7.9
85,24.5,8.0
86,22.5,7.9
87,26.5,7.9
88,27.4,7.9
89,28.3,8.0
90,27.0,7.8
91,27.3,7.9
92,26.5,8.0
93,26.5,8.0
94,26.4,8.1
95,27.1,8.1
96,26.4,8.0
97,22.3,7.1
98,21.8,7.2
99,25.1,7.0
100,24.3,7.0
101,25.4,7.2
102,27.7,7.3
103,27.0,7.6
104,25.8,7.1
105,27.3,7.2
106,28.2,7.0
107,23.1,8.1
108,24.1,7.4
109,23.8,8.2
110,25.0,7.6
111,23.7,7.5
112,24.0,7.5
113,20.8,8.4
114,22.0,8.3
115,22.7,8.2
116,29.0,8.0
117,28.0,8.0
118,29.3,8.3
119,29.4,8.3
120,29.5,8.2
121,29.2,8.3
122,17.6,8.1
123,26.0,8.1
124,17.2,8.1
125,28.4,8.7
126,24.9,7.9
127,27.6,7.8
128,25.8,8.0
129,28.4,8.2
130,26.0,7.6
131,19.7,8.2
132,18.7,8.2
133,22.3,7.5
134,23.7,7.8
135,25.2860606060606,7.6
136,25.2860606060606,7.5
137,25.2860606060606,7.6
138,25.0,7.7
139,25.0,7.5
140,25.3,7.5
141,24.8,8.2
142,25.2860606060606,7.5
143,27.4,7.7
144,27.7,7.7
145,28.7,7.9
146,26.7,8.2
147,27.0,7.3
148,29.4,7.7
149,26.1,7.8
150,26.2,7.9
151,26.9,7.7
152,25.3,7.5
153,25.8,7.9
154,25.7,7.9
155,25.7,7.7
156,24.7,7.7
157,24.4,7.7
158,24.6,7.7
159,26.8,7.9
160,27.3,8.1
161,27.4,7.9
162,26.8,8.1
163,27.2,8.1
164,13.2,7.1
165,17.2,7.5
166,23.3,7.7
167,23.9,7.7
168,17.4,7.3
169,21.9,7.6
170,22.8,7.6
171,10.5,6.9
172,11.2,6.9
173,12.6,7.0
174,23.6,7.5
175,24.3,7.4
176,20.1,7.4
177,26.8,7.6
178,25.9,7.8
179,26.9,8.3
180,27.5,8.5
181,24.0,8.1
182,26.2,7.9
183,26.7,8.2
184,26.2,7.8
185,27.0,7.9
186,27.8,7.9
187,26.6,8.4
188,24.7,8.2
189,24.6,7.5
190,25.5,7.5
191,26.3,7.5
192,25.8,8.2
193,25.4,7.7
194,28.0,7.3
195,27.0,8.0
196,26.8,7.8
197,26.8,7.9
198,25.6,8.0
199,26.1,8.3
200,24.4,7.5
201,26.3,7.6
202,23.0,7.5
203,26.8,8.0
204,26.8,7.8
205,23.9,7.7
206,28.0,8.1
207,23.2,8.2
208,25.8,8.0
209,25.9,8.0
210,20.8,7.4
211,24.8,7.3
212,25.7,7.1
213,24.3,6.7
214,24.0,6.6
215,25.0,6.9
216,25.5,6.5
217,26.9,7.1
218,29.0,6.8
219,17.5,6.8
220,15.1,6.8
221,13.3,6.8
222,27.3,7.4
223,28.8,7.6
224,23.0,7.0
225,23.4,7.6
226,15.1,7.6
227,22.6,7.1
228,23.6,6.8
229,23.3,7.2
230,23.7,7.3
231,22.3,7.1
232,26.9,8.0
233,22.8,7.5
234,26.9,7.9
235,22.9,8.0
236,23.3,8.4
237,26.8,13.2
238,23.0,8.2
239,25.8,8.1
240,25.9,8.0
241,25.0,7.6
242,22.7,8.2
243,22.9,8.1
244,20.8,8.0
245,21.0,8.1
246,20.3,7.7
247,23.0,8.1
248,21.6,8.1
249,23.2,8.2
250,24.5,8.1
251,24.5,8.1
252,22.6,8.1
253,19.0,7.6
254,23.0,8.0
255,23.2,7.8
256,22.3,8.1
257,23.0,8.1
258,23.2,8.0
259,23.1,8.1
260,23.8,7.4
261,22.4,7.5
262,23.3,7.3
263,25.6,7.1
264,23.3,8.0
265,24.1,7.2
266,22.1,8.1
267,18.5,8.1
268,23.0,7.8
269,18.0,8.2
270,22.3,7.4
271,24.8,7.4
272,23.5,7.6
273,24.2,7.4
274,23.7,7.8
275,20.9,7.5
276,23.7,7.8
277,25.2,7.2
278,18.5,7.8
279,23.3,7.4
280,25.6,6.9
281,23.5,7.6
282,27.8,7.2
283,24.5,7.9
284,22.6,7.9
285,25.6,7.9
286,22.3,7.8
287,21.0,7.9
288,27.8,7.3
289,22.7,7.2
290,19.0,7.6
291,23.0,7.3
292,24.0,7.4
293,24.7,7.4
294,25.0,7.6
295,22.0,7.7
296,24.3,7.3
297,23.3,7.2
298,19.5,7.7
299,21.5,7.5
300,20.0,7.4
301,32.6,6.8
302,23.6,7.8
303,23.9,7.7
304,24.5,7.9
305,18.1,7.1
306,25.1,8.0
307,22.3,7.2
308,23.7,7.9
309,23.9,8.1
310,25.1,7.8
311,29.6,7.9
312,27.4,7.7
313,27.8,7.8
314,30.6,7.3
315,25.0,7.9
316,25.0,7.6
317,25.0,7.4
318,25.3,7.7
319,25.1,7.6
320,26.1,7.4
321,21.4,7.7
322,27.4,7.4
323,27.1,7.5
324,27.2,7.3
325,27.3,7.4
326,27.0,7.3
327,27.2,7.3
328,27.0,7.4
329,22.6,7.8
330,28.4,7.3
331,28.0,7.2
332,27.6,7.3
333,27.9,7.3
334,28.1,7.3
335,27.1,7.9
336,27.6,8.1
337,27.3,8.0
338,27.8,7.8
339,28.0,7.7
340,28.1,7.6
341,28.6,7.6
342,26.9,7.7
343,23.0,7.4
344,23.0,7.4
345,23.0,7.2
346,23.8,7.4
347,24.6,7.3
348,24.0,7.3
349,24.4,7.5
350,26.3,7.9
351,24.4,8.1
352,28.5,7.9
353,27.1,7.7
354,27.3,8.0
355,27.5,8.0
356,29.5,8.2
357,29.1,8.2
